
-- region 0 (truth phys = 0.8487)
  scale    BceHcal A    BceHcal B   count chi2
  0.700      0.20211      0.16060      0.02076
  0.750      0.20271      0.15921      0.00990
  0.800      0.20345      0.15819      0.00305
  0.850      0.20431      0.15751      0.00020
  0.900      0.20530      0.15716      0.00118
  0.950      0.20639      0.15712      0.00588
  1.000      0.20759      0.15735      0.01452
  1.050      0.20887      0.15786      0.02662

-- region 1 (truth phys = 0.8934)
  scale    BceHcal A    BceHcal B   count chi2
  0.700      0.20490      0.16291      0.01447
  0.750      0.20439      0.16041      0.00739
  0.800      0.20414      0.15872      0.00280
  0.850      0.20412      0.15779      0.00052
  0.900      0.20433      0.15753      0.00031
  0.950      0.20473      0.15788      0.00191
  1.000      0.20532      0.15880      0.00513
  1.050      0.20608      0.16023      0.00993
